id,region
1,NORTHEAST
2,SOUTH
3,SOUTH
4,NORTHEAST
5,SOUTH
6,SOUTH
7,SOUTH
8,NORTHEAST
9,SOUTH
10,NORTHEAST
11,SOUTH
12,NORTHEAST
13,SOUTH
14,SOUTH
15,SOUTH
16,SOUTH
17,SOUTH
18,NORTHEAST
19,NORTHEAST
20,SOUTH
21,NORTHEAST
22,SOUTH
23,SOUTH
24,SOUTH
25,NORTHEAST
26,SOUTH
27,SOUTH
28,SOUTH
29,NORTHEAST
30,SOUTH
31,SOUTH
32,SOUTH
33,SOUTH
34,SOUTH
35,SOUTH
36,SOUTH
37,SOUTH
38,SOUTH
39,SOUTH
40,SOUTH
41,SOUTH
42,SOUTH
43,SOUTH
44,NORTHEAST
45,SOUTH
46,SOUTH
47,SOUTH
48,SOUTH
49,SOUTH
50,NORTHEAST
51,NORTHEAST
52,SOUTH
53,SOUTH
54,SOUTH
55,SOUTH
56,SOUTH
57,SOUTH
58,SOUTH
59,SOUTH
60,SOUTH
61,SOUTH
62,SOUTH
63,NORTHEAST
64,SOUTH
65,SOUTH
66,NORTHEAST
67,SOUTH
68,NORTHEAST
69,SOUTH
70,SOUTH
71,SOUTH
72,SOUTH
73,NORTHEAST
74,SOUTH
75,NORTHEAST
76,SOUTH
77,SOUTH
78,SOUTH
79,SOUTH
80,NORTHEAST
81,SOUTH
82,NORTHEAST
83,SOUTH
84,NORTHEAST
85,SOUTH
86,SOUTH
87,SOUTH
88,SOUTH
89,SOUTH
90,SOUTH
91,SOUTH
92,SOUTH
93,SOUTH
94,SOUTH
95,SOUTH
96,SOUTH
97,NORTHEAST
98,SOUTH
99,SOUTH
100,NORTHEAST
101,SOUTH
102,SOUTH
103,NORTHEAST
104,NORTHEAST
105,SOUTH
106,SOUTH
107,NORTHEAST
108,NORTHEAST
109,NORTHEAST
110,NORTHEAST
111,NORTHEAST
112,NORTHEAST
113,NORTHEAST
114,NORTHEAST
115,NORTHEAST
116,NORTHEAST
117,NORTHEAST
118,SOUTH
119,NORTHEAST
120,NORTHEAST
121,NORTHEAST
122,NORTHEAST
123,NORTHEAST
124,NORTHEAST
125,SOUTH
126,NORTHEAST
127,NORTHEAST
128,NORTHEAST
129,NORTHEAST
130,SOUTH
131,SOUTH
132,NORTHEAST
133,SOUTH
134,NORTHEAST
135,NORTHEAST
136,NORTHEAST
137,SOUTH
138,NORTHEAST
139,SOUTH
140,NORTHEAST
141,NORTHEAST
142,NORTHEAST
143,SOUTH
144,SOUTH
145,SOUTH
146,SOUTH
147,SOUTH
148,SOUTH
149,SOUTH
150,SOUTH
151,SOUTH
152,NORTHEAST
153,SOUTH
154,SOUTH
155,SOUTH
156,SOUTH
157,NORTHEAST
158,SOUTH
159,SOUTH
160,SOUTH
161,SOUTH
162,SOUTH
163,SOUTH
164,NORTHEAST
165,NORTHEAST
166,NORTHEAST
167,NORTHEAST
168,NORTHEAST
169,SOUTH
170,NORTHEAST
171,NORTHEAST
172,NORTHEAST
173,NORTHEAST
174,NORTHEAST
175,NORTHEAST
176,NORTHEAST
177,NORTHEAST
178,NORTHEAST
179,NORTHEAST
180,NORTHEAST
181,NORTHEAST
182,NORTHEAST
183,NORTHEAST
184,NORTHEAST
185,NORTHEAST
186,NORTHEAST
187,SOUTH
188,NORTHEAST
189,NORTHEAST
190,NORTHEAST
191,NORTHEAST
192,NORTHEAST
193,NORTHEAST
194,NORTHEAST
195,NORTHEAST
196,NORTHEAST
197,NORTHEAST
198,NORTHEAST
199,NORTHEAST
200,NORTHEAST
201,NORTHEAST
202,NORTHEAST
203,NORTHEAST
204,NORTHEAST
205,NORTHEAST
206,NORTHEAST
207,NORTHEAST
208,NORTHEAST
209,NORTHEAST
210,NORTHEAST
211,NORTHEAST
212,NORTHEAST
213,NORTHEAST
214,SOUTH
215,NORTHEAST
216,SOUTH
217,NORTHEAST
218,SOUTH
219,NORTHEAST
220,NORTHEAST
221,SOUTH
222,NORTHEAST
223,SOUTH
224,SOUTH
225,SOUTH
226,SOUTH
227,NORTHEAST
228,SOUTH
229,NORTHEAST
230,SOUTH
231,NORTHEAST
232,NORTHEAST
233,SOUTH
234,NORTHEAST
235,NORTHEAST
236,NORTHEAST
237,SOUTH
238,SOUTH
239,NORTHEAST
240,SOUTH
241,SOUTH
242,SOUTH
243,SOUTH
244,SOUTH
245,NORTHEAST
246,SOUTH
247,NORTHEAST
248,NORTHEAST
249,SOUTH
250,NORTHEAST
251,NORTHEAST
252,NORTHEAST
253,SOUTH
254,SOUTH
255,NORTHEAST
256,NORTHEAST
257,NORTHEAST
258,SOUTH
259,SOUTH
260,SOUTH
261,NORTHEAST
262,NORTHEAST
263,SOUTH
264,NORTHEAST
265,NORTHEAST
266,SOUTH
267,SOUTH
268,NORTHEAST
269,SOUTH
270,SOUTH
271,SOUTH
272,SOUTH
273,SOUTH
274,SOUTH
275,NORTHEAST
276,SOUTH
277,SOUTH
278,SOUTH
279,SOUTH
280,SOUTH
281,SOUTH
282,SOUTH
283,SOUTH
284,SOUTH
285,SOUTH
286,SOUTH
287,NORTHEAST
288,SOUTH
289,NORTHEAST
290,SOUTH
291,SOUTH
292,SOUTH
293,SOUTH
294,SOUTH
295,SOUTH
296,SOUTH
297,SOUTH
298,NORTHEAST
299,SOUTH
300,SOUTH
301,NORTHEAST
302,SOUTH
303,SOUTH
304,SOUTH
305,SOUTH
306,SOUTH
307,SOUTH
308,SOUTH
309,SOUTH
310,NORTHEAST
311,NORTHEAST
312,NORTHEAST
313,NORTHEAST
314,SOUTH
315,NORTHEAST
316,SOUTH
317,SOUTH
318,SOUTH
319,NORTHEAST
320,NORTHEAST
321,NORTHEAST
322,SOUTH
323,NORTHEAST
324,NORTHEAST
325,NORTHEAST
326,SOUTH
327,SOUTH
328,SOUTH
329,SOUTH
330,SOUTH
331,NORTHEAST
332,NORTHEAST
333,SOUTH
334,NORTHEAST
335,SOUTH
336,SOUTH
337,SOUTH
338,NORTHEAST
339,NORTHEAST
340,SOUTH
341,NORTHEAST
342,NORTHEAST
343,NORTHEAST
344,NORTHEAST
345,NORTHEAST
346,NORTHEAST
347,SOUTH
348,NORTHEAST
349,NORTHEAST
350,NORTHEAST
351,NORTHEAST
352,SOUTH
353,SOUTH
354,SOUTH
355,NORTHEAST
356,SOUTH
357,SOUTH
358,SOUTH
359,SOUTH
360,SOUTH
361,SOUTH
362,SOUTH
363,SOUTH
364,NORTHEAST
365,SOUTH
366,SOUTH
367,SOUTH
368,SOUTH
369,SOUTH
370,SOUTH
371,SOUTH
372,SOUTH
373,NORTHEAST
374,SOUTH
375,SOUTH
376,SOUTH
377,SOUTH
378,SOUTH
379,SOUTH
380,SOUTH
381,SOUTH
382,SOUTH
383,NORTHEAST
384,NORTHEAST
385,SOUTH
386,NORTHEAST
387,SOUTH
388,NORTHEAST
389,NORTHEAST
390,NORTHEAST
391,NORTHEAST
392,NORTHEAST
393,NORTHEAST
394,NORTHEAST
395,NORTHEAST
396,NORTHEAST
397,NORTHEAST
398,SOUTH
399,SOUTH
400,NORTHEAST
401,NORTHEAST
402,NORTHEAST
403,NORTHEAST
404,NORTHEAST
405,NORTHEAST
406,SOUTH
407,SOUTH
408,NORTHEAST
409,NORTHEAST
410,NORTHEAST
411,SOUTH
412,NORTHEAST
413,SOUTH
414,NORTHEAST
415,NORTHEAST
416,NORTHEAST
417,NORTHEAST
418,NORTHEAST
419,NORTHEAST
420,NORTHEAST
421,SOUTH
422,NORTHEAST
423,NORTHEAST
424,NORTHEAST
425,NORTHEAST
426,NORTHEAST
427,SOUTH
428,SOUTH
429,SOUTH
430,SOUTH
431,SOUTH
432,SOUTH
433,SOUTH
434,SOUTH
435,SOUTH
436,SOUTH
437,SOUTH
438,SOUTH
439,SOUTH
440,SOUTH
441,SOUTH
442,SOUTH
443,SOUTH
444,SOUTH
445,SOUTH
446,SOUTH
447,SOUTH
448,NORTHEAST
449,SOUTH
450,SOUTH
451,SOUTH
452,SOUTH
453,SOUTH
454,SOUTH
455,SOUTH
456,SOUTH
457,SOUTH
458,SOUTH
459,SOUTH
460,SOUTH
461,SOUTH
462,NORTHEAST
463,NORTHEAST
464,SOUTH
465,NORTHEAST
466,NORTHEAST
467,NORTHEAST
468,SOUTH
469,SOUTH
470,NORTHEAST
471,NORTHEAST
472,NORTHEAST
473,SOUTH
474,SOUTH
475,NORTHEAST
476,SOUTH
477,NORTHEAST
478,SOUTH
479,NORTHEAST
480,NORTHEAST
481,NORTHEAST
482,NORTHEAST
483,SOUTH
484,SOUTH
485,NORTHEAST
486,NORTHEAST
487,NORTHEAST
488,SOUTH
